                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.55362,                0.50418,                 1.0223,                0.49019,                0.51368,                0.46733,                0.33169,                 1.2492,                 2.0468,                  1.694,             0.00065271,             0.00065271,             0.00065271
                    128,                0.55949,                0.50515,                 1.0183,                0.69865,                0.50426,                0.52689,                0.37296,                 1.2903,                  2.045,                 1.7015,             0.00064905,             0.00064905,             0.00064905
                    129,                0.53817,                0.49023,                 1.0055,                0.66512,                0.52472,                0.53983,                0.39393,                 1.2908,                 1.8781,                 1.7197,             0.00064538,             0.00064538,             0.00064538
                    130,                0.53551,                0.46782,                 1.0047,                0.63828,                0.55422,                0.56677,                 0.4145,                 1.2746,                 1.7497,                 1.6999,             0.00064171,             0.00064171,             0.00064171
                    131,                0.55243,                0.48807,                 1.0154,                0.52923,                0.59507,                0.54807,                0.39393,                 1.2517,                 1.8053,                  1.691,             0.00063805,             0.00063805,             0.00063805
                    132,                0.54002,                0.47294,                 1.0104,                0.62691,                0.56131,                0.59122,                0.42946,                 1.2216,                 1.7157,                 1.6592,             0.00063438,             0.00063438,             0.00063438
                    133,                 0.5481,                0.48481,                 1.0068,                0.71251,                 0.5524,                0.57466,                0.41952,                 1.2766,                 1.7457,                 1.6832,             0.00063071,             0.00063071,             0.00063071
                    134,                0.55222,                0.49147,                 1.0062,                0.66406,                0.49351,                0.54451,                0.39985,                 1.2821,                 1.8568,                  1.742,             0.00062705,             0.00062705,             0.00062705
                    135,                0.55034,                0.49527,                  1.016,                0.65277,                0.48653,                  0.535,                0.38091,                 1.2732,                 1.9504,                 1.7306,             0.00062338,             0.00062338,             0.00062338
                    136,                0.53977,                0.48047,                 1.0059,                0.63153,                0.47808,                0.52268,                0.37873,                 1.2533,                 1.9857,                 1.7151,             0.00061972,             0.00061972,             0.00061972
                    137,                0.53804,                0.47127,                0.99927,                0.58707,                 0.5489,                0.55775,                0.39191,                 1.2971,                 1.9137,                  1.755,             0.00061605,             0.00061605,             0.00061605
                    138,                0.53106,                0.47351,                0.99809,                0.61096,                0.56452,                0.58478,                0.41884,                 1.2789,                  1.746,                 1.7276,             0.00061238,             0.00061238,             0.00061238
                    139,                0.52286,                0.47354,                0.99795,                0.65276,                  0.544,                0.55726,                0.40158,                 1.2609,                 1.8062,                 1.7297,             0.00060872,             0.00060872,             0.00060872
                    140,                0.52727,                0.48243,                 1.0086,                0.55032,                0.58168,                0.56274,                0.38861,                 1.3011,                 1.8063,                 1.7691,             0.00060505,             0.00060505,             0.00060505
                    141,                0.52731,                 0.4712,                 1.0064,                0.56992,                0.53884,                0.55966,                0.39606,                  1.302,                 1.9744,                 1.7688,             0.00060138,             0.00060138,             0.00060138
                    142,                0.52026,                0.46118,                0.99532,                0.78023,                0.47491,                 0.5499,                0.40909,                 1.2979,                 1.9722,                 1.7406,             0.00059772,             0.00059772,             0.00059772
                    143,                0.52658,                0.45868,                  1.001,                0.72464,                0.52248,                0.59121,                0.43841,                 1.2548,                 1.7413,                 1.7064,             0.00059405,             0.00059405,             0.00059405
                    144,                0.52373,                0.45787,                 1.0073,                0.65959,                0.55362,                0.58862,                0.43359,                 1.2298,                 1.8047,                 1.6745,             0.00059039,             0.00059039,             0.00059039
                    145,                0.51143,                0.45382,                0.99335,                0.66445,                0.54075,                0.57587,                0.40984,                  1.262,                   1.85,                 1.7317,             0.00058672,             0.00058672,             0.00058672
                    146,                0.51909,                0.46174,                0.99522,                0.64919,                0.53917,                0.54422,                0.39066,                 1.2967,                 1.8288,                 1.7843,             0.00058305,             0.00058305,             0.00058305
